mac_1,mac_2,mac_3,mac_4,mac_5,mac_6,mac_7,mac_8,mac_9
6815.89,9414.39,17432.21,3424.01,3182.35,3307.50,3247.35,7687.20,3214.43
6280.63,9946.16,15293.56,3240.89,3125.99,3195.26,3102.14,7490.22,3297.04
6336.05,9141.78,15662.88,3153.03,3381.05,3122.45,3359.17,7206.78,3141.83
6806.52,9815.17,15807.10,3463.18,3271.15,3616.05,3251.72,8257.51,3051.25
9392.15,9489.33,15833.04,3171.67,3355.73,3265.84,3950.42,7459.02,3530.47
7239.07,9157.56,15768.98,3236.05,3249.95,3354.07,3311.41,7425.48,5222.30
7070.69,9902.88,15553.77,3129.69,3103.91,3171.52,3329.33,7590.79,3376.72
6992.67,9348.76,15799.29,3144.90,3385.68,3132.24,3170.37,8294.54,3228.18
6624.38,11482.36,15594.24,3374.12,3274.69,3097.04,3129.64,7428.40,3143.08
6660.79,9442.88,17869.29,3148.86,3228.96,3238.65,3392.87,7833.76,3145.16
7182.41,9782.10,14709.55,3256.93,3225.11,3335.21,3290.53,7627.30,3109.64
6853.65,9384.80,14818.87,3144.17,3370.16,3173.96,3096.20,8078.45,3497.82
6979.02,9420.79,15078.93,3123.34,3104.43,3569.95,3229.01,7987.72,3232.40
7128.55,9866.26,15057.99,3457.56,3274.74,3275.06,3108.23,7523.97,3462.19
6971.10,9265.53,15177.31,3210.37,3296.36,3125.73,3349.85,7897.67,3169.90
6720.22,9832.56,15139.65,3417.45,3239.95,3357.76,3166.52,6944.59,3695.73
6950.79,9554.54,15180.70,3117.45,3388.96,3147.04,3436.98,6748.03,3164.59
6474.64,8927.41,14977.36,3144.01,3128.13,3361.57,3244.43,6536.41,3113.13
6451.99,9265.01,16264.29,3050.32,3249.28,3243.13,3045.00,6606.26,3250.94
7090.63,9578.24,15209.86,3193.96,3340.37,3144.54,3376.05,6756.05,3207.40
6597.35,10411.63,14555.28,3346.88,3225.00,3345.68,3242.50,6404.07,3403.23
6162.40,9739.49,15321.27,3141.98,3358.23,3143.49,3289.33,6957.20,3173.70
7166.31,9575.38,15374.76,3230.47,3262.87,3137.87,3184.90,6386.26,3102.56
6799.18,10135.48,15072.88,3096.31,3122.24,3142.04,3115.73,6851.83,3489.17
6699.18,9141.63,15648.09,3148.29,3368.86,5629.43,3268.55,6484.44,3119.07
5365.89,9618.50,14772.94,3607.50,3218.91,3293.13,4609.69,6386.52,3358.91
5254.33,11959.75,17448.82,3134.12,3327.14,3210.68,3481.20,6488.60,3168.13
5716.73,9917.10,16564.97,3459.12,3191.36,3089.90,3253.08,6424.38,3068.70
5152.56,9997.98,15278.40,3120.11,3120.26,4648.81,3308.96,6727.92,3254.54
5011.36,9605.85,15094.39,3160.68,3380.06,3287.24,3197.30,6741.47,3146.67
5514.07,9275.48,15022.31,3264.95,3282.14,3180.89,3290.11,7446.26,3508.44
5314.33,9789.96,15037.00,3123.96,4565.06,3276.41,3095.47,7626.89,3154.85
5437.98,9606.78,15387.10,4379.02,3400.58,3199.43,3275.42,7798.66,3148.49
5609.38,10535.38,15483.09,3355.32,3365.58,3175.37,3251.05,7870.06,3421.72
5385.22,9547.04,14921.53,3455.27,3224.38,3068.86,3171.83,7269.91,3194.33
5199.33,10040.33,15739.45,3150.27,3366.41,3157.82,3324.95,7359.64,3200.00
5647.66,9157.51,16930.33,3120.32,3134.80,3478.91,3102.61,9570.64,3149.43
5203.60,9633.45,15151.48,3251.41,3271.77,3147.30,3240.63,7961.62,3390.94
5347.72,10340.64,15046.89,3120.37,3235.58,3343.34,3279.12,7389.44,3159.33
5831.26,9538.35,15212.68,3263.91,3142.92,3093.96,3121.36,7732.30,3128.91
