mac_1,mac_2,mac_3,mac_4,mac_5,mac_6,mac_7,mac_8,mac_9
109.78,234.11,520.24,113.74,112.23,106.42,103.37,694.98,108.30
122.72,240.94,519.76,116.15,115.75,104.83,103.11,671.66,113.41
109.36,234.71,717.66,111.94,111.00,104.98,103.10,622.77,116.33
108.17,239.14,519.64,128.05,115.26,105.01,104.15,542.62,113.21
107.44,240.95,519.46,118.36,137.73,105.61,103.61,559.65,108.23
107.74,245.82,513.57,118.06,308.93,105.50,102.82,2088.18,113.16
109.10,237.22,518.99,114.07,113.04,105.42,109.07,638.72,111.21
107.49,240.06,516.84,117.09,111.99,109.24,104.08,636.30,112.02
108.64,234.95,517.67,115.20,112.66,105.72,103.90,2081.44,109.98
109.44,570.19,517.97,113.90,112.70,107.01,103.87,1414.35,113.00
120.85,261.62,696.99,118.83,111.22,104.77,104.79,1481.05,109.19
116.71,233.89,518.53,113.89,116.09,105.15,103.44,608.41,115.65
118.39,240.38,515.93,353.42,113.63,109.74,104.12,752.56,109.33
113.35,233.52,517.20,120.90,112.42,104.27,104.19,1076.45,114.17
117.47,235.26,511.99,112.75,112.95,108.75,104.03,850.96,112.67
113.80,233.15,518.23,112.74,112.36,103.95,109.14,873.40,109.09
117.83,241.93,516.25,111.52,114.23,111.52,105.47,602.61,113.77
113.31,233.97,707.27,114.26,113.19,103.77,105.24,598.93,108.32
118.04,235.02,514.93,118.87,340.16,108.32,104.35,703.21,113.33
114.32,233.16,520.58,113.83,171.09,103.95,104.88,966.40,110.89
113.50,234.56,515.42,113.86,120.18,103.01,104.38,1137.87,115.50
107.32,243.34,519.63,113.58,117.60,107.42,104.06,570.77,110.12
105.41,233.43,518.68,112.13,116.11,104.22,104.28,636.21,115.88
112.21,234.09,518.36,113.19,113.73,108.09,105.02,584.07,108.70
105.78,234.16,701.53,113.81,114.45,105.18,107.19,643.99,112.87
113.15,243.46,513.18,113.44,112.30,107.39,108.96,2191.95,114.29
112.34,234.96,520.95,113.36,122.75,295.84,106.19,1356.85,108.09
116.43,238.13,512.86,118.88,115.01,106.02,106.01,777.26,111.36
366.46,238.10,518.73,113.12,113.38,106.33,112.42,638.63,108.91
108.40,375.38,518.07,112.33,114.37,106.11,107.11,592.31,680.52
108.56,236.69,516.40,113.49,113.29,104.17,109.72,611.53,122.06
108.16,232.15,515.78,114.94,111.60,104.12,103.87,836.28,110.58
107.76,236.67,948.71,113.59,112.07,104.27,108.30,740.38,108.97
107.06,232.21,522.88,115.30,111.57,112.19,105.31,971.52,112.81
111.89,224.43,514.29,113.62,112.83,105.67,350.69,681.63,110.19
108.62,220.76,520.00,114.46,343.13,105.29,108.14,642.11,109.47
109.33,220.33,516.24,122.41,118.54,104.23,103.79,1141.56,111.12
107.18,237.98,522.50,116.71,113.42,105.95,103.98,1157.63,109.55
107.43,226.95,517.76,115.94,113.76,105.45,104.08,1010.28,108.05
106.96,222.27,709.00,115.23,112.25,105.24,104.42,639.09,109.98
106.68,222.99,514.14,122.14,112.28,347.13,103.61,601.65,110.96
106.80,222.89,513.49,113.22,113.73,148.85,109.16,698.29,109.25
110.80,441.12,517.17,114.17,117.83,109.21,106.27,719.93,114.48
110.48,221.86,517.32,118.39,113.57,109.42,104.37,918.63,110.91
122.76,223.50,523.64,115.36,113.13,106.78,105.57,1905.28,111.53
111.90,234.75,516.28,390.87,112.57,106.79,105.19,987.75,110.69
116.17,226.06,715.15,112.91,113.85,107.43,102.53,701.49,111.08
112.74,219.08,509.39,112.34,112.32,108.06,106.19,642.50,111.93
112.63,222.08,518.69,113.04,111.53,105.65,107.06,607.93,109.59
115.83,219.27,521.00,112.95,112.27,113.84,103.92,659.51,109.90
112.88,227.70,513.92,112.33,112.75,109.26,105.11,887.68,109.69
117.08,219.81,515.69,116.36,118.26,106.46,109.55,1115.49,112.37
366.37,226.37,513.29,112.96,113.40,105.14,104.50,1050.30,110.67
114.73,226.51,689.17,112.40,112.04,105.64,104.51,780.40,109.57
107.57,243.06,513.53,114.16,113.35,107.65,103.88,1785.49,109.97
107.58,223.75,515.89,113.41,112.84,112.13,106.12,1149.24,112.63
106.61,225.70,516.86,114.46,113.95,111.99,103.29,703.98,109.32
106.11,221.60,517.53,113.12,113.25,109.20,103.80,608.10,108.90
106.39,476.28,513.77,111.08,113.79,104.53,105.31,732.36,112.73
109.46,236.15,519.91,115.03,117.47,413.12,105.14,1056.09,109.17
107.03,219.07,516.27,119.81,115.00,109.68,111.08,598.74,658.10
107.78,218.91,705.89,114.13,112.81,107.51,105.69,694.58,118.33
106.62,225.30,514.73,115.14,111.81,106.96,320.55,919.65,110.64
106.20,219.73,511.49,115.25,111.07,106.51,130.08,690.00,109.88
106.98,220.96,513.40,113.97,112.14,105.79,105.65,623.64,110.24
107.07,222.42,513.44,113.50,113.37,112.29,103.31,577.23,110.30
106.55,521.02,524.21,113.14,115.22,109.85,104.28,662.83,109.33
107.80,243.09,526.37,112.81,116.21,107.20,357.19,2228.52,110.76
108.21,235.53,534.87,119.66,383.65,106.82,109.93,627.41,109.56
116.78,242.88,526.60,114.68,122.14,106.59,103.24,581.81,111.06
109.75,225.67,534.75,114.92,113.05,108.14,103.95,730.59,108.81
112.43,219.29,529.65,114.79,112.54,106.24,103.95,791.22,111.13
107.62,222.72,854.10,114.40,113.15,106.57,103.12,739.43,107.91
110.58,226.07,579.93,114.65,111.88,106.14,103.57,1028.10,116.36
106.58,406.30,564.12,118.68,114.09,112.12,109.33,874.11,108.90
106.73,225.16,789.11,113.39,117.53,107.34,105.62,731.57,112.40
112.09,219.38,565.46,119.11,112.36,106.47,104.40,707.39,105.08
112.08,228.95,556.18,278.60,113.75,107.08,104.41,879.17,106.34
124.25,220.76,566.90,115.22,112.89,106.71,103.59,1149.66,109.40
107.59,222.09,554.45,113.35,112.33,106.47,103.60,738.51,106.02
112.07,219.82,564.53,112.45,112.56,106.40,105.30,587.73,109.40
109.43,220.39,564.80,112.41,112.85,106.60,103.81,686.17,105.01
112.21,227.28,758.11,114.58,112.46,108.93,104.41,2066.47,112.53
108.53,220.06,559.61,112.33,117.35,107.03,103.07,561.84,106.06
112.75,224.72,530.19,122.45,112.96,115.07,109.09,1042.05,109.00
107.15,223.23,537.87,113.97,112.45,106.34,104.71,788.07,104.81
109.30,233.95,538.14,112.21,113.88,106.77,104.99,599.21,109.51
112.38,224.03,527.69,112.61,113.49,105.77,106.26,544.40,107.32
106.22,221.77,518.53,113.54,111.15,105.85,104.20,2422.41,109.51
112.20,220.97,893.02,113.14,112.19,106.67,103.94,587.99,105.18
104.98,219.56,525.14,117.57,112.51,106.00,103.99,699.34,104.68
111.84,452.17,520.31,113.72,112.45,104.03,104.95,708.58,109.71
110.03,216.76,523.47,112.08,117.46,107.68,104.73,645.08,440.67
111.27,217.04,517.84,122.53,119.83,303.03,103.09,899.78,107.62
105.43,222.95,520.47,112.02,110.58,108.41,110.03,689.46,105.58
111.58,217.41,515.88,114.80,114.92,104.43,103.97,2035.55,106.19
652.50,217.48,696.38,110.99,110.97,104.76,105.63,699.06,104.94
109.44,214.87,525.51,116.06,117.13,105.82,103.09,950.72,105.52
108.41,215.30,516.87,111.96,110.44,104.07,104.10,1308.65,110.30
107.51,226.49,521.40,116.60,116.12,104.49,105.77,1125.57,108.79
113.36,219.95,516.67,112.22,111.18,103.90,103.43,628.75,106.79
107.85,224.18,518.30,115.35,279.39,109.55,104.88,588.25,106.20
106.06,224.64,516.67,116.50,117.53,105.41,103.44,804.03,106.23
108.11,226.90,686.37,116.23,113.99,104.80,343.09,1126.24,106.53
106.38,224.04,511.66,112.39,113.08,105.25,111.55,649.53,105.26
106.26,221.75,517.88,110.92,113.34,104.19,106.03,947.56,107.59
106.79,221.15,512.01,116.10,111.57,103.52,104.03,637.14,104.26
106.62,222.28,515.84,111.41,112.89,104.69,104.11,649.33,112.01
107.52,432.10,516.15,116.05,117.21,104.85,103.87,652.73,104.97
120.98,234.93,514.66,111.72,114.22,102.75,103.42,613.90,108.14
119.04,235.78,708.69,115.87,114.33,109.34,110.35,959.35,105.26
111.84,232.05,516.94,341.02,112.30,106.23,106.01,927.57,109.37
117.31,216.16,738.49,112.74,113.42,105.89,104.50,648.30,104.87
112.88,216.01,523.58,111.70,112.71,104.24,103.96,655.80,103.92
112.99,216.70,512.70,112.80,113.57,104.11,105.16,2429.71,108.03
116.90,216.53,518.51,113.07,113.88,110.94,103.50,621.64,105.07
110.40,223.10,513.32,112.60,114.39,104.08,104.35,2166.64,108.43
110.16,216.57,654.40,116.91,117.89,106.88,104.78,666.11,108.50
112.87,223.81,511.85,114.79,113.12,102.75,103.76,918.54,108.85
109.00,222.34,512.64,112.91,113.45,104.84,104.36,608.44,105.14
104.88,229.15,510.14,112.24,112.00,113.26,111.27,710.26,110.88
111.48,217.74,520.67,112.40,113.48,103.84,104.34,651.20,105.63
107.05,222.30,510.57,114.45,113.42,107.06,103.67,682.19,108.92
111.74,217.70,522.89,114.53,114.80,103.30,102.69,889.24,104.75
