mac_1,mac_2,mac_3,mac_4,mac_5,mac_6,mac_7,mac_8,mac_9
18723.90,18861.40,18376.50,18531.20,18330.00,18595.30,18605.20,91.90,18546.10
18862.30,18576.60,18356.40,18520.10,18320.10,18486.00,18435.50,91.00,18527.40
18756.30,18654.30,18346.70,18455.40,18364.30,18457.90,18447.80,91.60,18631.00
18500.60,18566.60,18312.90,18634.50,18309.40,18492.50,18437.20,91.10,18454.00
18560.70,18522.30,18356.20,18691.30,18334.00,18460.40,18462.20,90.20,18631.50
18665.60,18475.30,18665.80,20550.60,18344.20,20782.50,18498.20,89.70,18600.60
37870.20,18570.90,18596.40,18481.80,18323.30,18483.90,18538.60,95.90,18406.00
18550.10,18449.40,18399.60,18495.70,18378.70,18467.00,18462.00,90.30,18399.50
18557.20,18441.10,18407.10,18430.40,18366.10,18494.10,18428.40,90.30,18378.30
18570.90,18394.40,18382.10,18488.50,18348.50,18424.20,18443.50,90.50,18399.80
18539.90,18437.00,18527.50,18547.20,18453.30,18471.90,18482.10,103.60,18379.80
18508.00,18441.30,18426.90,18409.70,18336.00,18476.00,18479.10,91.30,18561.60
18501.00,18576.20,20557.00,18391.80,18311.80,18539.80,18437.20,90.30,18671.70
18514.00,18640.70,18559.70,18434.10,18447.00,18493.50,18442.90,90.00,18459.20
18476.20,18474.00,18472.10,18390.10,18371.70,18591.90,18533.70,90.80,18428.30
18491.70,18574.80,18447.20,18392.20,18406.80,18510.50,18518.20,90.00,18438.50
18674.50,18607.90,18391.80,18754.40,18571.70,18528.00,18468.30,90.00,18423.00
18594.60,18637.10,18543.00,18484.40,18387.60,18684.40,18587.10,90.40,18421.80
18595.10,18564.30,18416.70,18441.20,18387.10,18574.60,18657.60,91.20,18439.30
19043.40,18566.50,18380.00,18432.50,18375.40,18587.70,18657.70,89.90,18508.90
18738.00,19057.60,18471.50,18447.60,18382.10,18573.80,18620.80,98.80,18505.00
19007.60,19090.10,18539.10,18513.30,18398.50,18586.40,19588.90,92.30,18437.00
18975.80,18863.50,19157.70,18640.00,18728.20,18557.50,18603.70,92.10,18507.80
18876.80,18987.50,18994.40,18659.70,19027.90,18579.70,18645.10,90.60,18517.30
18536.30,18842.30,18790.00,18436.70,18876.90,18492.30,18516.30,90.20,18463.60
18542.70,18555.30,18870.00,18401.70,18738.40,18479.40,18470.80,90.30,18533.50
19475.80,18562.50,18914.50,18463.70,18836.10,18461.00,18430.30,91.30,18615.80
18476.50,18413.10,18650.10,18898.80,18677.80,18479.60,18409.30,90.40,18556.60
18460.60,18402.30,18403.80,18461.30,18796.80,18510.40,18428.90,90.60,18572.30
18480.90,18536.40,18504.50,18485.00,18578.40,18490.10,18431.90,89.40,18552.90
18649.30,18479.00,18408.50,18441.80,18412.70,18475.80,18673.00,90.80,18537.20
18470.60,18520.20,18415.40,18469.30,18381.60,18461.50,18400.90,108.50,18689.50
18461.40,18480.30,18382.70,18562.60,18333.40,18463.30,18432.00,94.10,18450.90
18433.70,18447.30,18376.90,18597.40,18343.20,18478.90,18422.60,90.80,18496.70
18444.40,18448.70,18387.60,18761.50,18317.10,18530.90,18392.90,91.40,18452.90
18412.20,18494.20,19317.40,18582.00,18341.80,18605.90,18498.80,90.70,18476.10
18418.00,18664.90,18719.00,18646.40,18427.30,18565.50,18560.30,90.20,18607.00
18645.40,18819.50,18775.50,18966.00,18440.60,18544.10,18531.40,90.40,18440.80
18665.70,18398.50,18465.30,19079.00,18373.70,18485.10,18427.20,90.90,18440.00
18614.60,18448.60,18386.80,18545.60,18342.90,18443.30,18393.20,91.60,18631.80
