mac_1,mac_2,mac_3,mac_4,mac_5,mac_6,mac_7,mac_8,mac_9
546.34,1079.75,1810.04,452.93,463.80,454.21,475.41,876.94,470.52
542.80,1082.00,1813.85,453.58,874.33,453.85,486.38,912.32,466.62
542.09,1073.65,1813.89,453.41,459.09,453.24,480.47,876.30,468.86
969.36,1243.77,1816.38,454.03,456.99,453.70,479.81,1056.22,476.38
532.98,1071.19,1816.62,453.39,455.49,454.20,464.04,886.78,486.83
533.45,1070.61,1828.90,453.99,806.44,454.62,467.56,893.84,488.59
535.27,1068.67,1840.76,458.37,479.95,454.03,463.45,911.06,483.65
531.75,1077.51,1829.15,454.08,454.86,454.55,472.35,899.85,465.94
526.97,1072.05,2046.22,453.77,460.39,454.93,468.14,906.97,466.91
538.57,1070.55,1805.36,452.63,455.20,456.07,480.31,876.15,469.21
540.28,1234.22,1814.86,454.35,454.38,456.35,483.43,874.20,467.88
532.63,1072.96,1810.63,457.21,455.96,455.44,484.99,1025.60,469.10
539.20,1070.24,2067.29,460.87,454.78,456.09,461.78,963.47,482.43
530.42,1073.47,1823.25,453.76,455.14,456.77,467.27,893.61,483.90
530.08,1078.93,1836.65,467.28,455.24,457.17,464.08,1001.57,482.45
539.45,1074.80,1833.90,457.34,455.12,455.41,466.93,1042.86,476.29
537.95,1074.11,1831.98,460.79,455.03,454.28,461.12,918.74,467.04
533.69,1074.12,1866.91,457.60,461.86,455.07,481.22,900.36,469.59
544.56,1192.90,1833.67,457.01,456.95,458.73,483.30,878.46,472.50
532.57,1068.20,1903.47,452.88,454.81,454.57,486.42,874.63,467.43
538.28,1068.36,1828.83,460.20,460.81,456.86,473.07,1059.92,700.17
534.88,1080.09,2308.19,456.89,453.28,464.51,466.40,932.28,496.68
537.30,1074.20,1821.29,459.83,459.02,456.69,461.88,917.44,485.19
537.00,1074.45,1832.34,457.09,453.60,459.83,467.88,910.73,476.09
543.44,1075.57,1826.05,460.34,460.02,458.15,462.09,880.58,467.89
539.04,1231.52,1832.77,455.71,455.06,457.87,471.02,981.93,469.31
535.14,1546.21,1827.00,459.12,464.95,456.48,478.70,888.66,474.58
534.44,1094.23,1832.89,457.02,452.46,458.79,480.03,937.85,467.72
537.15,1080.47,1828.71,459.84,458.94,457.54,486.03,1033.05,490.79
530.87,1078.44,2043.94,455.67,454.62,469.45,459.84,962.63,491.16
