mac_1,mac_2,mac_3,mac_4,mac_5,mac_6,mac_7,mac_8,mac_9
232.37,452.59,842.62,189.70,192.35,186.36,180.70,821.31,176.93
226.80,448.84,856.23,183.94,183.46,187.99,179.81,794.29,177.60
227.81,443.66,1033.45,187.32,182.46,181.96,180.12,777.10,178.06
234.02,534.00,846.82,181.99,182.31,181.98,179.61,895.75,179.44
236.03,448.25,841.82,182.98,183.21,180.95,183.68,1057.82,179.36
228.10,450.75,855.18,191.30,288.60,181.47,179.85,840.11,181.50
228.41,446.18,945.37,183.55,187.73,186.72,184.48,806.65,178.32
237.67,444.46,994.19,184.15,183.24,182.65,181.12,841.60,178.34
231.83,454.33,856.00,183.10,182.48,180.57,180.41,1278.38,176.31
228.80,443.89,849.20,182.08,182.41,182.47,184.05,861.23,176.77
229.23,449.79,846.45,286.66,186.92,180.34,181.44,821.37,187.40
225.63,444.70,952.76,187.61,183.66,184.43,180.96,1290.45,177.50
247.83,538.45,847.22,182.97,183.31,185.25,181.32,1154.81,179.20
227.39,450.43,842.82,185.61,182.96,180.69,182.91,1055.84,177.13
230.03,453.78,852.72,180.84,182.25,183.07,181.13,784.40,177.05
232.33,446.82,936.76,187.47,186.85,182.47,190.56,786.68,180.35
240.98,451.03,854.28,183.24,184.17,181.03,180.42,828.49,276.17
232.96,447.52,841.76,182.75,184.21,291.72,183.13,1338.06,177.59
231.73,449.58,840.26,181.62,183.24,183.50,180.48,1160.77,176.65
226.43,449.01,871.90,181.58,182.77,181.10,180.49,1055.93,178.64
238.90,447.87,941.01,182.25,186.52,182.10,290.05,827.62,176.06
237.79,542.66,862.21,186.41,187.38,186.29,183.55,789.10,182.18
229.53,445.89,850.52,181.91,183.03,183.77,185.84,1295.32,178.47
231.88,453.19,854.22,182.10,181.72,183.63,179.90,1143.36,176.08
230.06,448.55,973.44,187.07,182.00,182.72,180.37,868.85,176.25
232.98,450.45,867.43,181.20,182.94,181.91,184.76,853.26,182.93
231.70,452.29,854.30,185.40,288.42,181.42,182.56,800.34,180.03
