n,overlap,original,original_std,original_min,original_max,compose,compose_std,compose_min,compose_max,linq,linq_std,linq_min,linq_max,hashset,hashset_std,hashset_min,hashset_max,frozenset,frozenset_std,frozenset_min,frozenset_max,par_std,par_std_std,par_std_min,par_std_max,par_hashset,par_hashset_std,par_hashset_min,par_hashset_max,par_std_partition,par_std_partition_std,par_std_partition_min,par_std_partition_max,par_hashset_partition,par_hashset_partition_std,par_hashset_partition_min,par_hashset_partition_max
20,80,1.24,0.20,1.13,1.79,1.43,0.98,1.08,4.21,1.69,0.08,1.58,1.96,1.22,0.06,1.17,1.50,3.84,0.16,3.63,5.67,37.93,34.20,23.00,417.50,11.68,3.56,5.29,23.42,45.60,32.63,23.38,435.33,11.16,3.03,5.79,24.63
30,80,2.48,0.60,2.21,4.13,2.25,0.11,2.13,2.50,2.31,0.09,2.21,2.58,1.64,0.08,1.54,2.25,8.30,0.64,7.96,13.92,43.20,47.46,25.17,459.33,13.07,4.04,5.88,34.46,43.18,44.38,26.08,437.79,13.36,4.56,7.75,30.00
40,80,4.06,0.18,3.96,4.54,4.03,0.15,3.92,4.38,3.22,0.37,3.04,7.38,2.49,0.39,2.33,6.88,14.64,0.39,14.29,17.88,47.44,57.08,26.75,501.04,15.77,4.08,7.38,34.58,57.42,53.43,31.46,486.75,12.68,2.78,7.71,23.67
50,80,6.28,0.13,6.21,6.63,6.27,0.14,6.08,6.54,4.16,0.66,3.92,9.88,2.95,0.09,2.88,3.50,16.85,0.98,16.29,23.96,60.14,63.90,30.42,545.42,14.69,3.72,7.33,29.71,53.80,57.79,30.63,490.63,14.01,3.34,8.75,28.21
60,80,7.90,0.09,7.79,8.13,9.73,5.65,7.63,25.79,4.81,0.25,4.63,8.08,3.66,0.15,3.54,6.17,19.89,1.15,19.25,27.58,55.27,67.90,31.08,507.88,15.28,3.07,8.58,22.08,55.80,59.16,32.04,499.71,14.55,3.31,9.42,32.50
70,80,10.93,0.09,10.83,11.13,15.36,10.43,10.79,44.17,5.57,0.45,5.33,9.21,4.11,0.09,4.00,4.71,23.18,1.02,22.50,31.17,59.47,76.29,32.88,556.58,18.74,4.63,9.25,38.71,69.56,68.92,43.83,531.08,15.93,3.64,9.92,31.96
80,80,13.98,0.18,13.88,14.46,13.33,0.13,13.25,13.71,6.34,0.14,6.17,6.83,5.03,0.09,4.92,5.42,25.43,0.48,24.83,28.96,68.52,85.26,36.33,572.96,18.26,3.65,11.54,37.92,67.42,74.91,36.29,549.21,16.67,3.32,11.50,36.17
90,80,17.41,0.16,17.25,17.71,16.93,1.08,16.54,20.00,7.35,0.65,7.04,12.67,5.46,0.20,5.29,8.42,24.51,0.80,23.96,30.96,66.98,88.77,36.00,582.79,17.44,3.33,11.79,32.42,88.64,96.67,39.38,591.33,17.72,4.03,11.75,39.79
100,80,21.63,0.22,21.42,22.00,20.61,0.11,20.50,20.79,7.89,0.43,7.63,11.29,6.04,0.13,5.88,7.13,28.39,1.16,27.71,37.83,72.51,96.19,38.88,602.88,17.66,4.03,11.50,37.71,73.41,84.49,41.29,577.04,19.01,3.70,12.75,36.33
200,80,85.59,4.84,81.33,98.54,80.29,0.07,80.17,80.38,15.49,0.75,15.13,19.46,11.72,0.67,11.33,15.96,45.34,1.76,44.33,57.29,97.45,114.94,49.96,645.71,26.15,5.34,18.46,61.17,98.04,95.97,58.58,598.92,28.36,5.32,20.08,52.17
