n,overlap,original,original_std,original_min,original_max,compose,compose_std,compose_min,compose_max,linq,linq_std,linq_min,linq_max,hashset,hashset_std,hashset_min,hashset_max,frozenset,frozenset_std,frozenset_min,frozenset_max,par_std,par_std_std,par_std_min,par_std_max,par_hashset,par_hashset_std,par_hashset_min,par_hashset_max,par_std_partition,par_std_partition_std,par_std_partition_min,par_std_partition_max,par_hashset_partition,par_hashset_partition_std,par_hashset_partition_min,par_hashset_partition_max
4000,50,74408.53,649.98,73516.30,75287.70,73560.23,568.76,72498.30,74312.90,327.89,21.36,317.00,492.50,310.69,22.13,300.80,449.10,2539.19,59.72,2488.80,2774.80,450.91,145.55,323.90,964.50,333.57,39.75,299.30,501.90,428.30,151.28,316.60,1085.10,311.71,34.94,282.20,538.40
5000,50,117350.27,2452.90,115235.40,123059.10,116462.24,998.77,114329.30,117539.90,446.67,89.03,405.20,1061.40,435.44,106.85,405.10,1095.10,3164.94,347.10,2965.20,4887.70,595.03,165.98,387.30,1229.80,438.55,98.30,378.50,940.60,507.15,174.66,361.90,1159.40,401.55,78.52,355.80,859.40
6000,50,166587.79,1474.36,164860.10,168804.10,169112.24,658.54,168165.50,170522.10,513.56,79.41,489.10,995.50,485.01,74.26,464.40,968.80,3425.44,188.66,3308.90,4079.20,539.95,175.56,400.10,1182.60,502.49,101.96,439.60,1028.30,529.37,176.20,404.40,1177.70,472.52,90.13,426.00,980.20
7000,50,232626.94,871.31,231966.00,234572.00,228460.78,2156.50,225016.20,232515.70,614.75,87.34,589.40,1137.20,584.92,81.81,561.50,1107.30,3928.34,175.10,3801.90,4518.50,600.80,186.20,466.30,1275.10,588.19,106.75,515.00,1178.90,599.54,191.00,454.70,1316.70,549.06,95.97,495.80,1077.10
8000,50,302373.31,3499.01,298909.90,310262.30,298051.37,3072.21,294454.80,304614.50,705.54,104.59,669.70,1263.90,671.16,96.91,644.50,1225.10,4262.44,219.42,4115.00,4979.30,732.22,260.35,509.30,1434.40,652.31,132.01,576.30,1280.80,735.13,270.49,518.20,1425.40,612.06,111.30,556.80,1240.30
9000,50,380716.15,2606.36,376594.40,384542.10,377534.67,2400.63,373769.60,380733.80,805.93,134.97,762.40,1406.00,773.21,125.52,731.60,1394.10,4808.36,325.20,4591.20,5719.70,864.23,310.37,572.70,1771.50,738.16,157.76,644.50,1438.90,847.71,304.81,579.70,1745.50,691.07,136.99,621.50,1375.60
10000,50,472347.62,4171.93,464558.80,478821.80,467828.33,1460.86,464368.70,469383.30,911.27,135.26,866.90,1577.40,881.63,135.37,834.30,1550.20,5281.85,273.30,5055.20,6014.80,933.36,315.02,611.70,2133.10,830.90,179.68,715.00,1628.30,913.06,309.67,625.50,1670.60,784.24,158.27,698.50,1554.40
20000,50,1905201.06,8260.02,1895468.50,1917658.50,1912265.77,6987.92,1901710.40,1924672.80,2081.38,442.86,1836.20,3466.10,2015.27,470.71,1780.10,3348.20,10019.36,327.25,9540.80,11322.80,1780.55,546.69,1169.90,3796.80,1609.00,163.39,1436.40,2210.80,1800.23,566.52,1192.60,3939.10,1609.88,230.54,1392.10,2424.80
30000,50,5121963.91,106575.01,5073472.70,5422382.70,4346074.68,30449.50,4319993.50,4425527.50,3317.38,329.15,2945.30,4850.40,3249.82,339.30,2878.90,4717.60,62263.55,1065.04,60778.30,66462.80,3195.40,1896.79,1861.80,18571.10,2509.98,274.54,2213.40,3397.30,3162.23,2015.11,1896.00,18663.70,2493.02,301.93,2186.40,3536.90
10,60,0.75,0.41,0.60,1.90,0.62,0.04,0.60,0.70,0.84,0.18,0.70,1.60,0.77,0.18,0.70,1.50,2.01,0.29,1.80,2.70,28.20,28.93,10.80,317.90,6.73,1.70,5.10,15.40,24.42,22.49,11.20,280.80,6.33,1.01,4.10,11.10
20,60,2.04,0.13,2.00,2.40,2.12,0.31,2.00,3.00,1.58,0.15,1.40,2.10,1.38,0.14,1.30,1.90,2.85,0.37,2.50,5.70,26.55,37.27,12.50,311.00,7.00,1.42,4.50,14.70,26.50,38.08,13.20,316.20,8.18,1.25,6.70,13.10
30,60,3.98,0.15,3.90,4.40,3.97,0.19,3.90,4.50,2.23,0.20,2.00,2.80,1.94,0.23,1.80,2.50,17.31,0.62,16.60,21.60,32.96,45.41,14.90,327.40,9.49,2.62,6.80,20.50,30.16,43.49,15.00,330.60,9.73,1.68,7.80,17.00
40,60,7.32,0.20,7.20,7.70,7.38,0.43,7.20,8.60,2.96,0.20,2.80,3.50,2.67,0.22,2.50,3.30,22.33,0.80,21.50,27.50,37.12,51.81,16.60,340.60,11.89,3.56,8.00,23.10,36.17,50.49,16.80,350.90,11.51,2.44,7.10,19.10
50,60,10.65,0.18,10.50,11.10,10.86,0.34,10.70,11.80,3.64,0.23,3.40,4.30,3.29,0.20,3.10,3.80,22.65,1.23,21.60,34.80,45.31,59.75,17.40,481.00,12.14,2.10,9.00,21.90,41.61,60.57,17.70,359.80,12.52,1.41,10.20,20.60
60,60,14.91,0.20,14.70,15.30,15.55,0.39,15.20,16.40,4.28,0.24,4.00,5.10,3.79,0.22,3.50,4.30,28.62,2.52,27.40,47.80,43.74,62.92,18.90,369.30,12.53,3.10,7.20,23.80,42.35,60.91,19.30,365.50,14.44,2.44,8.70,24.10
70,60,20.21,0.22,20.00,20.70,20.14,0.22,20.00,20.60,5.13,0.29,4.80,7.70,4.58,0.24,4.30,5.20,30.33,1.00,29.40,36.70,47.33,68.16,20.50,431.80,14.88,2.49,9.70,25.30,48.08,65.99,20.20,381.60,13.87,1.77,9.10,20.60
80,60,26.29,0.17,26.20,26.60,27.30,1.27,26.80,30.90,5.79,0.25,5.50,6.40,5.33,0.67,4.90,9.80,33.27,1.61,32.00,46.10,50.35,70.89,21.40,443.50,12.66,3.27,9.10,35.20,49.08,65.24,21.40,388.10,14.82,2.79,9.40,22.50
90,60,33.28,0.23,33.10,33.90,32.89,0.34,32.70,33.80,6.44,0.26,6.10,7.20,5.80,0.31,5.40,7.70,34.47,1.14,33.50,42.30,54.21,77.46,22.60,464.30,13.59,3.25,9.90,23.40,52.72,73.81,22.50,397.20,13.72,2.63,9.80,21.50
100,60,39.89,0.20,39.70,40.30,40.74,1.41,40.10,44.70,7.61,0.26,7.30,8.40,6.82,0.35,6.40,10.20,40.08,1.78,39.00,66.50,54.75,76.42,23.50,436.50,14.65,2.57,10.40,22.90,58.02,73.13,24.00,430.30,15.17,3.40,10.80,27.00
200,60,156.55,1.44,155.80,160.60,159.72,2.12,158.70,165.60,14.04,0.57,13.40,21.30,12.80,0.39,12.20,16.60,65.38,2.07,63.90,89.80,74.13,89.27,32.40,491.60,21.69,5.42,16.10,53.70,70.90,84.52,31.00,492.00,23.05,5.56,16.20,44.50
300,60,351.75,9.77,345.60,377.70,349.48,2.03,347.60,353.20,21.35,0.82,20.70,29.60,20.56,4.05,18.80,36.10,93.59,7.08,91.10,218.30,86.43,93.41,38.30,520.40,52.54,12.44,23.00,91.70,75.16,85.73,36.70,519.40,28.59,5.76,22.20,68.10
400,60,610.53,15.51,602.10,653.90,612.60,1.57,611.00,616.50,28.98,0.74,28.20,34.00,26.61,0.44,26.00,29.30,115.61,6.87,112.80,203.80,94.64,96.14,43.40,583.70,68.62,12.43,50.40,213.70,88.31,90.98,43.40,549.60,36.24,6.88,28.60,64.20
500,60,962.65,4.35,960.10,974.80,962.65,4.81,960.40,976.30,36.83,0.84,36.00,42.40,33.92,0.76,33.20,38.80,162.22,15.75,157.00,291.50,107.24,97.10,47.30,571.10,83.36,14.08,61.30,231.50,97.01,92.53,48.40,526.90,44.48,8.62,37.30,168.30
600,60,1331.68,6.36,1326.20,1347.60,1361.30,30.81,1340.80,1416.80,44.53,0.94,43.60,52.30,41.92,4.54,40.10,65.30,318.85,12.30,312.30,429.00,115.67,95.73,53.30,547.50,83.61,9.53,73.80,190.20,104.82,92.15,54.80,562.80,53.30,9.45,44.60,152.90
