n,overlap,original,original_std,original_min,original_max,compose,compose_std,compose_min,compose_max,linq,linq_std,linq_min,linq_max,hashset,hashset_std,hashset_min,hashset_max,frozenset,frozenset_std,frozenset_min,frozenset_max,par_std,par_std_std,par_std_min,par_std_max,par_hashset,par_hashset_std,par_hashset_min,par_hashset_max,par_std_partition,par_std_partition_std,par_std_partition_min,par_std_partition_max,par_hashset_partition,par_hashset_partition_std,par_hashset_partition_min,par_hashset_partition_max
20,30,5.45,0.02,5.43,5.48,5.45,0.02,5.44,5.49,2.97,0.61,2.71,5.20,2.64,0.58,2.40,4.89,8.16,0.75,7.52,9.87,1364.27,46.97,1244.45,1519.10,46.82,7.62,29.32,68.15,1363.91,45.45,1259.09,1496.85,43.67,6.06,29.58,61.60
30,30,11.67,0.37,11.53,12.71,11.58,0.02,11.57,11.64,4.54,0.73,4.14,6.66,4.11,0.73,3.72,6.19,24.03,6.65,17.31,34.88,1362.35,76.28,1250.78,2630.19,39.22,5.33,28.55,65.09,1370.63,76.94,1245.25,2636.64,47.60,8.34,31.90,73.34
40,30,20.14,0.69,19.89,22.08,19.94,0.02,19.92,19.99,6.18,0.76,5.59,8.40,5.09,0.76,4.61,7.13,25.90,7.15,20.44,45.27,1371.97,109.37,1262.32,2746.50,44.42,5.21,33.29,65.23,1376.09,93.92,1254.46,2811.86,39.51,5.09,28.55,57.24
50,30,30.36,0.67,30.13,32.27,30.21,0.00,30.20,30.21,7.26,0.73,6.76,9.22,6.35,0.73,5.92,8.25,36.54,9.37,26.06,49.28,1378.70,136.72,1264.38,3005.64,40.84,5.28,30.72,61.67,1378.32,105.72,1258.30,2753.85,49.77,6.00,34.83,66.10
60,30,43.93,0.82,43.64,46.26,45.90,2.54,43.77,52.10,9.43,0.90,8.47,11.78,8.63,1.03,7.55,13.67,32.96,6.52,28.58,61.86,1382.48,155.53,1240.00,3071.44,43.73,5.61,32.47,73.67,1381.14,125.99,1257.64,2854.65,42.34,5.33,31.72,62.93
70,30,59.78,0.62,59.55,61.55,59.93,0.55,59.73,61.50,10.43,0.87,9.46,12.73,9.11,0.77,8.53,11.04,42.37,10.10,36.35,67.98,1378.33,193.85,1238.83,3304.98,52.05,7.37,34.36,78.29,1386.12,139.60,1259.61,2991.65,40.63,4.67,32.48,60.15
80,30,75.12,0.63,74.89,76.92,75.20,0.45,75.02,76.47,11.09,0.89,10.37,12.98,9.65,0.76,9.01,11.58,40.01,8.66,34.92,67.11,1389.16,213.76,1249.70,3354.80,42.17,5.17,29.94,61.46,1395.09,154.58,1267.08,3038.51,40.43,4.72,32.37,60.63
90,30,92.55,0.69,92.29,94.50,93.10,1.29,92.53,96.62,12.40,0.96,11.56,14.21,11.23,0.97,10.41,13.04,39.34,7.18,35.45,66.22,1398.47,228.21,1258.72,3216.90,50.75,6.41,37.64,74.69,1389.77,154.68,1258.84,2870.09,49.06,7.56,33.40,70.77
100,30,121.49,4.27,119.26,131.99,119.64,0.67,119.39,121.54,14.80,0.97,13.83,17.40,10.02,2.31,7.07,14.64,43.59,1.39,41.62,46.41,1406.68,241.92,1255.65,3270.88,56.85,7.74,38.41,79.30,1403.85,175.21,1269.69,3038.46,53.27,5.65,42.28,70.96
200,30,457.42,2.16,456.09,463.01,272.49,1.17,271.63,275.39,23.35,4.63,14.01,28.24,14.49,0.60,13.85,15.99,77.26,1.96,74.46,82.96,1452.26,388.52,1253.31,3591.25,53.42,8.25,38.96,78.32,1436.85,267.04,1265.48,3485.08,62.58,10.04,40.94,85.16
300,30,863.07,155.46,603.32,1018.99,607.90,1.35,606.69,610.70,24.93,0.77,23.49,27.15,21.38,0.76,20.65,24.50,97.45,3.13,92.20,107.24,1502.81,453.44,1276.15,3801.06,66.92,6.78,52.92,89.66,1458.58,313.64,1279.43,3252.73,77.55,9.52,54.29,102.97
