n,overlap,original,original_std,original_min,original_max,compose,compose_std,compose_min,compose_max,linq,linq_std,linq_min,linq_max,hashset,hashset_std,hashset_min,hashset_max,frozenset,frozenset_std,frozenset_min,frozenset_max,par_std,par_std_std,par_std_min,par_std_max,par_hashset,par_hashset_std,par_hashset_min,par_hashset_max,par_std_partition,par_std_partition_std,par_std_partition_min,par_std_partition_max,par_hashset_partition,par_hashset_partition_std,par_hashset_partition_min,par_hashset_partition_max
2000,10,12041.45,445.04,11671.35,12963.24,11871.21,253.98,11707.16,12525.88,89.63,4.11,85.52,102.61,81.99,3.61,77.39,90.68,829.47,28.59,802.58,955.19,528.00,285.91,361.53,1844.21,113.84,28.09,98.62,312.66,479.07,191.63,360.42,1403.88,95.51,3.53,89.24,118.94
3000,10,28307.58,409.23,27831.43,29355.51,26550.41,546.09,26011.18,27989.69,140.14,5.58,134.75,160.90,128.33,2.83,124.64,140.49,1051.38,34.33,1019.75,1187.00,529.44,256.47,369.53,1540.60,147.58,26.77,132.57,441.15,482.36,192.89,351.40,1438.64,133.36,4.17,124.19,157.19
4000,10,50665.22,694.34,49867.03,51684.24,48088.95,2491.52,46722.91,54634.26,199.30,8.96,188.94,225.15,186.04,7.84,175.55,205.41,1572.17,60.43,1512.69,1781.14,552.84,279.55,377.10,1573.64,179.59,7.70,167.40,233.92,490.41,223.29,333.44,1663.03,175.97,7.15,160.69,212.59
5000,10,79661.87,909.04,78850.95,81861.88,79416.88,534.23,78526.81,80156.29,279.37,49.12,254.15,642.84,260.04,50.50,236.77,629.07,1944.82,120.71,1823.28,2431.75,568.73,298.86,388.72,2037.36,246.58,107.99,203.53,1214.95,492.62,217.65,319.38,1407.19,236.72,78.52,197.68,813.41
6000,10,113343.19,864.67,112325.76,115388.91,114610.72,2821.20,108259.75,118347.11,316.15,54.20,285.60,669.42,296.00,54.22,265.88,646.75,2082.90,138.59,1950.48,2605.72,582.52,298.48,399.75,2042.41,287.76,107.38,239.23,930.84,506.30,258.66,291.95,1422.38,277.08,94.25,228.53,901.43
7000,10,155936.32,1116.84,154021.74,157219.57,155847.90,1369.04,154161.60,157580.11,393.73,60.28,360.42,779.23,372.31,60.50,340.43,763.80,2397.97,139.14,2267.94,2915.03,591.54,301.98,405.26,2035.18,335.76,114.41,283.07,1060.55,499.31,255.92,223.92,1470.08,335.05,111.08,283.40,1043.74
8000,10,203689.44,3271.68,200587.56,210224.90,203348.50,1700.17,200797.97,206708.71,456.62,74.99,412.47,881.29,428.15,74.30,381.86,860.30,2511.71,196.69,2351.99,3142.06,600.13,284.30,418.57,1575.30,383.41,144.43,316.28,1285.69,492.02,267.08,227.53,1451.19,379.60,134.44,314.77,1172.03
9000,10,264318.04,4354.42,254657.01,270457.54,257137.56,2599.00,253361.88,261160.47,524.37,99.46,457.50,1171.18,480.70,87.36,429.35,920.79,2845.76,231.50,2616.75,3527.70,643.76,325.91,425.92,1658.35,437.00,174.05,353.80,1365.36,518.32,320.35,241.67,1527.50,435.90,171.02,352.05,1401.90
10000,10,333719.46,2701.87,330394.70,338375.72,317326.45,3045.16,314736.48,323271.14,592.04,89.70,536.53,1045.69,571.79,90.64,504.88,1038.10,3114.78,244.16,2902.01,3857.82,675.19,321.48,463.36,1724.51,503.56,189.52,399.84,1597.22,573.14,380.02,315.08,2093.02,501.58,185.63,398.01,1508.79
20000,10,2053547.11,3588.78,2046219.53,2059737.53,1813097.34,10552.59,1804313.76,1841318.85,1452.37,233.49,1229.70,2361.27,1708.03,424.02,1229.69,3513.61,6565.19,460.00,5790.07,7844.70,898.53,414.01,601.51,2036.16,985.29,116.89,900.71,1510.64,789.20,436.55,478.94,1991.20,996.43,137.18,909.27,1735.01
