n,overlap,original,original_std,original_min,original_max,compose,compose_std,compose_min,compose_max,linq,linq_std,linq_min,linq_max,hashset,hashset_std,hashset_min,hashset_max,frozenset,frozenset_std,frozenset_min,frozenset_max,par_std,par_std_std,par_std_min,par_std_max,par_hashset,par_hashset_std,par_hashset_min,par_hashset_max,par_std_partition,par_std_partition_std,par_std_partition_min,par_std_partition_max,par_hashset_partition,par_hashset_partition_std,par_hashset_partition_min,par_hashset_partition_max
10,10,0.75,0.15,0.68,1.17,0.68,0.02,0.66,0.71,0.81,0.81,0.57,6.23,0.74,0.86,0.50,6.37,2.41,1.56,1.42,8.04,1528.03,231.57,920.15,2145.45,27.41,4.45,18.33,42.16,1685.75,49.38,1598.82,2158.52,33.58,5.05,23.59,50.26
20,10,2.60,0.17,2.49,3.08,2.57,0.27,2.46,3.34,0.98,0.55,0.79,3.46,0.88,0.57,0.69,3.42,4.35,1.22,3.34,7.16,1690.33,58.74,1590.63,2230.02,31.42,5.03,21.66,46.80,1700.95,61.83,1610.05,2335.86,31.08,5.16,20.82,47.72
30,10,14.85,6.80,8.05,21.71,17.49,1.00,16.68,20.12,1.79,0.61,1.37,4.33,1.63,0.58,1.23,4.26,21.39,9.03,11.04,36.82,1692.11,77.98,1585.20,2402.85,31.45,4.49,21.90,44.59,1704.98,75.19,1603.67,2431.60,32.12,5.20,22.09,49.84
40,10,4.57,0.02,4.54,4.60,4.60,0.02,4.58,4.62,1.60,0.67,1.30,4.10,1.47,0.72,1.16,4.24,13.04,1.21,10.74,16.31,1692.37,82.54,1597.47,2481.06,26.66,4.21,18.01,40.57,1697.62,74.20,1595.90,2375.03,27.80,4.43,19.63,41.97
50,10,6.92,0.45,6.76,8.21,6.87,0.15,6.80,7.28,1.95,0.66,1.62,4.44,1.78,0.64,1.46,4.17,11.86,0.95,9.95,14.72,1703.65,103.83,1600.09,2565.80,27.34,4.25,18.67,40.11,1685.22,79.46,1587.96,2408.50,28.84,4.73,19.81,45.98
60,10,9.74,0.02,9.72,9.78,10.26,1.17,9.78,13.58,2.29,0.69,1.92,4.73,2.14,0.79,1.73,4.91,14.26,1.45,12.21,18.32,1689.55,106.90,1593.48,2679.59,33.37,4.96,23.39,49.88,1684.97,85.67,1588.63,2421.78,28.79,4.99,19.07,46.64
70,10,13.17,0.49,12.98,14.55,13.09,0.08,13.05,13.30,2.63,0.70,2.25,4.97,2.48,0.84,2.04,5.34,15.55,1.51,12.84,20.39,1698.69,110.13,1593.63,2554.14,27.87,4.17,18.67,40.79,1687.69,87.63,1589.51,2482.89,29.58,5.05,19.72,46.02
80,10,17.47,0.04,17.43,17.58,17.75,0.52,17.51,19.21,3.08,0.83,2.59,5.59,2.78,0.82,2.27,5.50,17.89,1.61,15.58,22.24,1699.86,118.22,1592.00,2655.00,30.36,4.51,21.54,47.89,1695.94,94.38,1597.93,2510.59,30.53,4.93,21.47,49.76
90,10,21.91,0.66,21.68,23.78,22.02,0.83,21.74,24.38,3.55,0.96,2.90,6.16,3.27,0.98,2.61,5.92,18.58,1.66,15.92,22.67,1716.01,133.64,1578.83,2541.39,32.86,4.18,24.06,46.03,1702.60,101.92,1603.79,2567.00,33.32,5.22,23.85,52.32
100,10,26.59,0.79,26.32,28.85,27.12,1.45,26.40,30.04,3.92,1.01,3.25,6.36,3.65,1.07,2.92,6.22,21.14,2.21,18.09,26.15,1696.27,130.28,1583.82,2565.54,32.82,4.87,23.64,48.36,1701.82,104.85,1593.63,2564.15,32.35,5.00,23.23,48.47
