n,overlap,original,original_std,original_min,original_max,compose,compose_std,compose_min,compose_max,linq,linq_std,linq_min,linq_max,hashset,hashset_std,hashset_min,hashset_max,frozenset,frozenset_std,frozenset_min,frozenset_max,par_std,par_std_std,par_std_min,par_std_max,par_hashset,par_hashset_std,par_hashset_min,par_hashset_max,par_std_partition,par_std_partition_std,par_std_partition_min,par_std_partition_max,par_hashset_partition,par_hashset_partition_std,par_hashset_partition_min,par_hashset_partition_max
200,10,108.12,1.06,107.51,110.98,106.33,1.09,105.90,109.40,7.70,1.09,6.28,10.38,6.37,0.96,5.66,9.21,29.77,2.74,27.25,38.44,1751.98,204.00,1613.68,2791.03,40.87,4.66,31.02,56.58,1709.51,136.66,1593.65,2713.83,37.39,5.44,26.77,55.09
300,10,241.18,1.60,239.46,243.72,220.46,2.59,218.32,225.85,11.65,0.94,9.62,14.83,9.02,1.08,7.89,12.19,41.12,2.95,38.53,53.82,1779.53,293.86,1613.38,3403.39,37.86,5.22,28.51,56.23,1724.88,176.78,1605.96,2858.80,45.90,6.16,33.54,69.19
400,10,425.13,1.84,422.98,427.53,404.04,7.37,395.32,415.32,14.75,1.77,11.64,19.18,12.87,1.51,10.87,17.32,51.95,1.30,50.44,60.89,1823.75,356.90,1615.88,3584.28,33.76,4.29,25.56,47.65,1753.18,216.90,1606.93,3173.75,42.17,6.99,27.81,62.57
500,10,711.06,1.88,708.44,714.04,641.67,2.95,634.59,645.70,17.91,1.94,15.03,22.75,15.35,1.55,13.76,19.89,90.60,2.14,88.05,104.26,1888.61,402.65,1635.15,3495.68,45.77,4.73,35.99,60.67,1765.01,238.79,1612.79,3095.60,54.06,7.88,35.31,75.45
600,10,946.14,1.44,944.79,948.86,919.22,2.79,916.53,924.78,21.78,1.72,18.35,26.12,17.66,1.18,16.80,22.92,218.90,12.78,208.10,287.78,1913.22,470.17,1630.14,3629.86,43.09,4.54,35.71,63.44,1791.37,276.52,1611.97,3516.89,54.93,7.49,38.04,72.74
700,10,1281.75,5.92,1275.73,1290.74,1293.29,3.90,1287.37,1299.12,26.45,2.17,22.32,32.34,21.86,1.92,20.41,28.05,442.84,4.69,435.92,465.08,1974.49,571.83,1630.14,4191.68,52.90,7.00,39.89,83.47,1815.86,331.71,1621.18,3865.20,58.70,8.03,40.40,78.08
800,10,1680.99,10.11,1661.98,1691.48,1687.29,4.51,1676.41,1694.37,30.87,2.24,26.33,36.36,24.35,0.70,23.44,28.81,468.98,7.56,452.49,519.54,2030.91,652.99,1643.91,4928.91,42.98,4.89,35.12,60.45,1832.70,319.10,1627.69,3418.86,62.10,8.40,42.85,84.21
900,10,2100.49,12.26,2086.12,2116.92,2117.90,4.36,2115.51,2129.79,33.15,2.53,28.79,38.99,29.18,2.65,26.15,36.69,522.52,5.37,514.84,554.98,2101.39,692.48,1653.55,4106.44,50.99,4.88,41.44,70.04,1862.47,393.97,1627.17,3685.84,72.97,8.99,51.73,96.21
1000,10,2550.12,33.49,2525.55,2609.62,2551.22,2.98,2547.50,2556.82,35.88,3.24,31.34,43.51,29.86,2.04,28.48,37.67,533.06,7.67,523.07,596.11,2135.40,768.53,1656.47,5685.22,53.98,4.89,44.04,73.75,1893.88,462.61,1636.27,4309.51,72.63,9.12,51.70,96.11
2000,10,10177.75,18.50,10152.66,10200.97,10230.49,10.88,10217.92,10251.47,73.38,7.67,65.84,91.26,60.43,1.27,58.89,66.78,799.41,15.39,785.52,1028.98,3163.22,1492.86,1695.37,5583.12,106.49,9.05,81.85,127.19,2120.30,696.94,1663.78,5379.10,124.83,11.06,98.24,158.82
3000,10,23116.54,16.49,23090.84,23134.20,23210.56,8.92,23199.43,23224.02,115.05,8.22,104.76,144.62,97.65,1.71,95.02,108.53,1057.21,28.15,1022.04,1292.83,3642.31,1626.86,1745.23,8327.77,161.74,8.83,137.11,185.02,2479.00,1022.38,1660.44,6072.81,158.67,10.68,127.30,191.62
4000,10,43259.41,29.11,43200.90,43296.19,41289.33,13.50,41270.36,41310.61,165.02,11.12,150.38,213.77,144.21,7.44,134.16,165.02,1511.89,29.38,1481.69,1747.91,4503.19,1725.19,1821.45,7386.90,198.47,10.78,170.33,238.21,2715.18,1137.81,1686.30,5175.60,197.69,13.76,160.26,233.77
5000,10,67167.70,38.35,67094.53,67227.25,64411.25,50.76,64351.48,64517.77,266.49,73.97,244.49,797.38,234.85,76.02,215.11,770.54,1812.99,144.65,1725.49,2302.13,5402.84,1674.58,2046.73,8281.94,291.75,136.91,234.28,1254.34,3115.39,1324.90,1704.65,6013.64,291.76,136.37,239.23,1276.37
6000,10,103258.40,40.00,103192.85,103306.42,99844.87,96.29,99686.95,100042.05,318.06,82.04,278.00,836.18,282.97,82.88,244.09,809.57,1999.35,172.33,1891.71,2534.15,6333.43,1870.46,3246.64,12511.46,344.52,156.65,272.67,1361.46,3552.96,1495.23,1780.03,6624.83,338.70,161.24,267.77,1374.49
7000,10,140255.61,55.79,140160.70,140330.30,134770.69,57.44,134690.01,134871.05,376.35,85.31,326.91,903.60,340.86,88.01,300.34,887.41,2277.29,161.26,2144.03,2752.06,7142.01,2309.62,3888.82,14713.92,405.50,172.78,329.06,1510.78,3870.13,1572.41,1845.61,6894.26,400.27,177.36,331.82,1546.73
8000,10,188224.05,100.21,188015.28,188331.12,169312.06,99.89,169189.03,169506.39,432.01,97.42,380.07,972.77,395.95,97.48,349.50,938.69,2467.82,186.99,2287.19,2896.81,8117.96,2793.72,4538.34,15899.93,455.39,206.48,373.96,1598.04,4166.96,1673.99,1928.52,7781.80,474.25,209.05,380.90,1651.22
9000,10,248012.93,175.54,247850.32,248415.66,234004.85,42.25,233934.98,234065.74,503.71,115.24,441.30,1062.50,464.04,115.54,409.55,1026.16,2730.29,267.00,2539.98,3351.67,9275.20,3039.69,5217.10,16057.75,531.47,251.07,430.53,1819.53,4397.63,1717.64,2043.38,8032.40,517.47,241.61,424.83,1733.54
10000,10,320059.66,1399.14,319546.86,324037.25,299005.55,997.60,298554.05,301819.11,584.75,121.90,515.34,1174.95,539.55,122.98,479.07,1141.13,3097.59,207.01,2856.74,3550.18,9657.27,2969.09,5554.25,16495.47,610.99,271.32,509.37,2022.95,4573.86,1747.12,2099.77,8006.43,604.35,266.03,508.89,1972.82
20000,10,1287965.08,12782.88,1276069.66,1302608.13,1204107.94,670.10,1203043.47,1204993.65,1137.97,202.60,1035.84,1999.26,1050.69,172.41,980.51,1704.20,5447.47,315.11,5004.56,6263.15,15069.22,7758.81,6839.53,29213.86,1059.67,162.28,958.71,1959.74,5620.71,1817.85,2389.28,8733.72,1085.14,218.86,954.42,1920.94
30000,10,2887251.01,28360.88,2842309.09,2907654.92,2791443.62,59733.13,2753251.28,2890399.04,1935.90,309.51,1720.11,2981.41,1717.68,212.82,1562.18,2642.09,36048.37,499.44,33626.62,36856.09,18269.99,7896.79,7680.07,30920.38,1712.54,351.26,1463.94,3117.53,6639.83,1730.92,3183.15,13995.40,1587.19,310.45,1419.31,2869.56
10,20,0.37,0.02,0.35,0.41,0.47,0.31,0.36,1.35,0.45,0.16,0.40,2.43,0.41,0.19,0.36,2.95,0.81,0.19,0.68,1.46,1698.85,49.38,1612.45,2137.40,27.62,4.46,18.46,41.92,1698.13,51.78,1600.94,2167.98,32.36,5.25,22.33,47.59
20,20,1.19,0.01,1.18,1.22,1.22,0.01,1.20,1.23,0.83,0.37,0.71,3.03,0.75,0.38,0.63,2.86,2.30,0.81,1.71,4.66,1694.40,59.90,1596.99,2282.00,30.27,4.58,20.28,42.72,1700.89,55.74,1617.06,2286.58,33.31,5.30,23.95,52.58
30,20,2.70,0.80,2.43,4.98,2.47,0.01,2.45,2.49,1.29,0.67,1.02,3.79,1.19,0.70,0.92,3.84,9.61,1.14,8.05,12.47,1701.08,64.78,1605.18,2322.39,31.64,4.73,22.39,46.38,1702.91,60.75,1612.02,2443.58,34.97,4.92,25.05,50.62
40,20,4.15,0.02,4.13,4.18,4.17,0.01,4.17,4.19,1.62,0.61,1.34,3.95,1.50,0.70,1.20,4.15,12.06,1.02,10.23,15.55,1708.49,75.61,1607.95,2405.34,28.76,4.46,20.34,42.43,1696.18,64.46,1601.21,2322.17,26.99,4.47,18.87,42.69
50,20,7.05,0.83,6.76,9.39,6.80,0.02,6.78,6.84,2.02,0.67,1.67,4.37,1.86,0.72,1.50,4.48,12.60,1.11,10.77,16.32,1702.68,101.28,1602.39,2523.48,26.05,4.04,18.23,38.82,1700.64,73.24,1605.88,2300.78,31.00,4.81,22.45,47.41
60,20,9.51,0.04,9.47,9.62,9.54,0.02,9.51,9.59,2.45,0.86,1.97,5.30,2.29,0.97,1.76,5.10,14.37,1.08,12.19,17.95,1704.09,95.23,1602.76,2506.78,29.87,4.24,21.39,43.85,1710.74,89.49,1612.14,2467.29,32.56,5.30,23.57,52.35
70,20,12.77,0.53,12.58,14.28,13.06,0.93,12.72,15.69,2.81,0.87,2.32,5.42,2.64,1.00,2.08,5.50,16.17,1.33,13.60,21.01,1713.85,113.73,1605.11,2578.02,30.66,4.67,21.34,47.96,1710.61,81.19,1604.89,2360.88,29.27,4.90,20.53,44.96
80,20,16.10,0.40,15.95,17.24,16.02,0.01,16.00,16.04,3.16,0.83,2.63,5.71,2.95,1.00,2.35,5.85,18.73,1.56,15.60,23.92,1712.42,100.29,1609.49,2550.34,35.73,6.13,24.08,54.03,1701.85,98.66,1591.57,2514.52,26.92,4.28,17.92,40.86
90,20,20.90,0.08,20.85,21.12,21.06,0.36,20.91,22.07,3.52,0.78,2.97,5.76,3.23,0.82,2.66,5.68,17.51,1.52,15.85,21.84,1714.22,116.88,1610.42,2548.39,33.60,4.39,24.37,47.93,1706.44,86.63,1609.71,2453.70,29.03,4.76,19.76,43.57
100,20,26.01,0.54,25.82,27.55,26.04,0.81,25.75,28.34,3.92,0.91,3.25,6.53,3.56,0.94,2.89,6.03,20.12,1.60,17.12,24.51,1712.46,127.22,1608.08,2640.37,27.25,4.18,19.20,41.51,1704.08,98.53,1589.27,2453.82,36.52,5.49,26.06,58.49
200,20,105.49,2.21,104.66,111.79,106.24,3.52,104.29,116.00,8.04,1.07,6.61,10.24,6.93,1.07,5.26,9.32,29.85,2.64,27.48,39.08,1754.59,202.14,1621.23,2855.13,29.81,4.27,22.37,44.28,1723.29,137.40,1616.36,2671.67,37.88,5.66,26.31,53.89
300,20,226.14,1.41,225.11,228.71,224.68,4.56,219.36,230.89,11.80,1.11,9.87,15.95,10.01,1.14,8.54,14.01,42.13,3.09,40.03,53.98,1778.74,239.17,1629.23,3064.62,34.05,4.18,26.65,49.67,1734.31,161.74,1615.79,2692.43,38.02,5.96,25.68,56.54
400,20,397.68,2.04,395.82,401.20,392.04,3.31,389.46,398.60,15.43,1.50,12.91,19.43,12.24,1.02,11.53,16.90,50.93,2.84,49.02,64.02,1825.40,301.34,1632.23,3258.55,35.19,4.04,28.37,50.22,1760.71,189.95,1626.54,2861.54,51.63,6.12,38.52,70.52
500,20,626.94,2.38,623.27,631.34,625.95,1.86,623.56,628.87,19.34,1.54,16.35,23.12,15.02,0.49,14.61,18.93,87.16,3.48,84.96,109.21,1881.74,397.39,1646.93,3503.35,39.47,4.58,31.98,57.65,1783.42,231.70,1635.34,2882.41,55.10,7.19,36.62,76.46
600,20,899.45,2.09,895.38,902.96,877.76,4.41,872.97,886.51,21.31,2.18,18.71,26.48,18.93,1.93,17.03,23.97,133.46,4.12,130.75,178.46,1931.19,447.84,1655.75,3589.21,44.59,7.52,31.83,68.03,1794.68,259.10,1619.13,3092.14,63.35,7.57,45.40,82.25
700,20,1211.00,4.96,1207.08,1224.13,1163.34,2.79,1160.03,1168.21,25.36,2.55,21.59,32.37,21.40,2.08,19.66,27.00,409.55,8.32,397.23,468.91,1974.79,524.98,1662.10,3830.50,45.85,4.33,37.75,60.47,1797.66,298.03,1591.72,3356.42,57.28,8.53,36.52,79.52
800,20,1556.05,29.70,1516.40,1591.74,1560.91,7.26,1551.51,1572.63,29.81,2.58,25.46,35.22,23.60,0.66,23.10,28.39,454.99,13.62,424.67,555.69,2017.24,581.92,1662.73,4171.56,50.85,4.80,42.21,70.33,1825.70,296.48,1629.09,3218.42,70.18,9.70,48.57,94.16
900,20,1974.44,40.64,1910.72,2024.27,1950.83,4.15,1943.36,1955.43,32.99,2.54,28.60,38.92,26.52,0.83,25.93,32.37,501.38,8.22,494.73,582.54,2086.57,671.01,1663.92,3991.28,49.60,4.71,40.64,66.67,1882.79,378.32,1658.77,3462.40,73.25,10.70,48.95,98.77
1000,20,2403.88,53.22,2334.32,2484.93,2399.94,5.01,2391.37,2411.45,35.68,3.37,31.28,43.65,29.84,1.89,28.41,38.42,564.05,65.78,529.17,1017.93,2113.42,727.26,1651.16,5751.16,53.36,5.00,43.80,69.08,1885.52,403.57,1650.41,4121.64,72.35,9.21,50.55,96.57
2000,20,9230.39,6.55,9217.65,9240.29,9239.83,4.31,9234.19,9247.34,68.10,6.34,62.30,86.46,57.27,1.15,56.10,64.96,758.26,20.91,739.48,966.42,3029.45,1402.91,1716.09,5678.30,122.47,7.83,99.83,142.01,2109.72,665.30,1677.42,5511.04,131.41,11.45,94.23,160.43
3000,20,20676.35,38.63,20642.10,20780.86,20710.29,25.89,20689.41,20778.59,109.19,10.17,98.94,141.82,91.80,1.96,89.08,104.33,966.04,23.91,950.40,1172.68,3623.90,1638.25,1722.69,8420.20,162.27,9.23,135.66,200.91,2449.00,984.63,1662.51,6070.02,162.95,8.60,139.22,191.18
4000,20,39797.02,17.17,39772.42,39824.98,38792.53,11.39,38770.34,38812.69,167.42,9.95,154.43,208.62,141.37,2.56,137.61,154.88,1493.14,30.79,1463.38,1719.00,4542.92,1722.63,1840.77,7400.53,203.24,9.83,173.95,234.53,2824.24,1186.65,1726.52,5205.00,201.55,12.83,173.32,247.74
5000,20,66852.37,25.76,66817.63,66888.09,61970.88,30.67,61932.23,62033.12,270.72,75.79,243.68,816.31,238.47,76.35,218.32,775.86,1856.47,141.61,1775.79,2349.80,5394.81,1691.57,2025.50,8214.39,297.96,148.88,242.49,1346.46,3034.10,1282.16,1718.80,5909.92,286.06,138.88,228.18,1291.02
6000,20,98451.85,74.48,98361.67,98609.95,96042.25,65.48,95954.52,96171.44,320.87,79.78,274.85,823.47,282.93,80.32,242.17,793.56,2027.80,169.06,1922.44,2578.63,6370.96,1873.16,3321.14,12302.78,359.29,169.52,294.90,1446.35,3570.28,1492.62,1800.85,6660.51,355.01,165.26,282.10,1419.74
7000,20,128445.16,83.62,128355.88,128610.63,118485.25,86.68,118383.03,118652.65,365.39,79.36,321.56,858.07,329.31,80.68,289.23,828.23,2168.84,145.87,2045.29,2604.21,7439.69,2492.75,4038.49,16080.21,410.66,181.91,341.65,1602.11,3804.97,1536.65,1801.67,6796.09,410.61,182.57,338.18,1589.08
8000,20,179694.80,652.63,179437.86,181548.93,169790.75,92.27,169657.80,169923.84,439.93,96.74,391.35,974.61,403.67,96.81,357.92,943.82,2506.09,184.01,2325.53,2923.22,9238.65,3090.32,5298.10,15102.81,474.50,216.17,390.11,1700.72,4084.59,1643.87,1882.94,7649.45,463.16,214.32,380.92,1672.12
9000,20,224376.82,121.51,224098.09,224530.18,210030.90,137.17,209905.96,210342.54,483.95,106.13,427.87,1001.26,446.33,106.21,393.74,964.21,2643.75,243.94,2467.32,3223.89,8859.59,2979.85,5144.60,15968.80,546.09,260.11,448.19,1868.36,4344.87,1712.98,1944.85,7722.40,569.84,252.98,467.57,1864.46
10000,20,287032.74,116.80,286823.84,287185.49,272561.47,93.72,272394.93,272758.88,571.65,116.21,508.43,1136.43,536.01,117.26,476.62,1107.57,3050.00,199.34,2825.80,3474.24,9570.05,2936.33,5559.46,16023.86,630.32,306.68,505.57,2192.49,4578.11,1732.93,2064.54,7925.48,627.36,284.70,520.22,2067.61
20000,20,1213525.75,713.70,1212219.76,1214668.19,1221979.06,466.78,1221330.44,1222540.95,1209.19,156.61,1116.74,1941.59,1142.73,181.77,1056.03,1718.64,5628.31,312.88,5245.73,6316.21,15380.68,8055.67,7197.62,29797.46,1120.77,255.69,982.17,2114.75,5650.81,1832.23,2403.20,8940.52,1068.80,156.63,950.27,1734.21
30000,20,2726695.60,622.34,2725413.66,2727806.85,2765909.51,3290.31,2761334.96,2769337.45,1879.09,307.09,1734.64,2908.26,1731.88,209.61,1641.45,2598.81,36635.54,602.67,35498.77,37702.62,13648.38,2297.96,9098.77,18846.07,1852.34,390.91,1518.62,3280.70,6535.77,1666.32,3158.33,11372.63,1642.11,333.61,1460.91,2906.75
10,30,0.71,1.10,0.34,3.85,0.49,0.10,0.35,0.60,0.46,0.19,0.41,2.16,0.41,0.18,0.36,2.23,1.27,0.30,1.10,4.07,1694.76,51.33,1595.56,2196.24,36.73,5.84,25.18,54.74,1701.12,48.93,1601.32,2210.37,30.84,5.03,19.83,47.20
20,30,1.16,0.01,1.15,1.18,1.17,0.01,1.16,1.19,0.89,0.47,0.72,3.25,0.81,0.50,0.64,3.46,2.51,0.78,2.03,5.14,1700.44,54.43,1610.79,2212.55,29.33,4.88,18.69,43.50,1700.34,59.60,1608.53,2313.50,34.33,4.91,23.56,49.75
30,30,2.48,0.16,2.42,2.93,2.46,0.02,2.43,2.49,1.34,0.65,1.06,3.80,1.24,0.70,0.94,3.76,9.04,1.22,7.65,11.56,1703.80,68.54,1611.32,2421.93,38.49,4.91,28.13,54.64,1701.66,56.38,1600.57,2259.95,30.47,5.28,19.65,49.05
40,30,4.03,0.05,4.00,4.15,4.02,0.02,4.01,4.07,1.67,0.63,1.37,4.03,1.56,0.75,1.22,4.65,10.63,1.15,8.64,13.40,1702.48,76.86,1610.28,2432.92,34.89,5.32,24.03,51.40,1702.21,66.61,1604.66,2312.76,31.87,5.29,21.96,47.58
50,30,6.14,0.21,6.06,6.73,6.18,0.02,6.16,6.21,2.10,0.76,1.69,5.09,1.96,0.95,1.49,5.07,11.89,1.13,9.77,15.71,1700.06,95.29,1603.48,2486.55,29.13,4.60,19.19,44.76,1704.56,81.92,1607.64,2385.03,28.65,4.78,19.21,45.09
60,30,9.27,0.45,9.08,10.55,9.10,0.56,8.88,10.70,2.41,0.62,2.03,4.65,2.14,0.67,1.79,4.81,13.18,1.05,11.64,17.09,1706.05,95.67,1594.93,2496.33,32.36,4.78,22.62,46.93,1705.46,82.48,1610.80,2401.68,33.54,5.33,23.93,50.00
70,30,12.62,1.27,12.00,15.53,12.24,0.39,12.08,13.31,2.92,0.93,2.36,5.72,2.69,0.98,2.10,5.31,16.18,1.67,13.99,20.98,1704.07,113.91,1605.64,2582.33,29.67,4.39,20.89,42.88,1698.64,89.33,1597.20,2454.81,29.47,4.67,20.30,44.46
80,30,15.70,0.38,15.54,16.77,16.00,1.00,15.63,18.83,3.20,0.81,2.67,5.79,2.92,0.86,2.38,5.73,17.00,1.43,15.30,21.74,1712.58,113.43,1604.44,2605.14,32.74,5.03,21.70,47.24,1701.91,92.40,1602.88,2504.11,30.15,4.84,21.11,46.92
90,30,20.26,2.61,19.14,27.21,19.38,0.44,19.22,20.64,3.64,0.86,3.02,6.00,3.21,0.85,2.65,5.85,17.29,1.38,15.36,21.91,1720.29,122.69,1614.65,2599.83,28.73,5.08,18.06,43.76,1706.70,97.20,1601.54,2480.41,31.69,5.09,22.68,48.55
100,30,24.48,1.58,23.76,28.46,23.86,0.18,23.78,24.37,4.06,1.05,3.29,7.07,3.25,0.70,2.92,6.29,19.65,1.72,16.66,24.20,1718.91,126.09,1609.63,2626.54,29.44,4.39,20.64,42.57,1708.18,105.00,1597.27,2560.23,36.99,5.19,26.07,55.44
200,30,96.75,1.40,96.06,100.41,96.42,0.87,96.08,98.90,7.73,1.00,6.62,10.18,6.15,0.79,5.28,8.39,30.16,2.36,28.08,38.59,1756.55,202.78,1628.42,2867.15,35.20,4.91,25.70,50.76,1727.45,142.23,1624.25,2697.39,35.65,5.04,26.07,50.05
300,30,212.65,1.42,211.23,214.62,207.84,7.31,195.83,217.55,12.26,1.32,9.49,16.38,9.06,1.03,8.23,14.04,40.99,2.83,38.44,52.89,1793.72,255.93,1621.99,2995.48,36.07,4.38,28.48,51.73,1742.06,168.64,1624.15,2747.19,39.05,6.13,26.88,57.56
400,30,379.31,2.80,376.68,383.47,361.80,5.24,352.97,368.82,14.78,1.35,12.49,19.05,12.96,1.39,11.06,17.13,48.02,1.13,46.21,54.62,1825.81,298.36,1637.56,3200.99,40.49,5.06,31.84,54.81,1761.58,202.76,1622.00,2889.01,45.65,6.76,30.49,68.75
500,30,594.17,2.33,590.65,598.44,570.61,4.90,563.03,580.00,19.12,2.10,16.16,24.10,15.90,1.70,14.17,20.95,73.09,1.92,71.49,87.79,1879.70,390.19,1655.28,3536.12,49.82,5.08,38.84,62.67,1786.54,245.33,1618.35,2985.59,56.87,7.34,40.03,81.27
600,30,851.86,1.83,848.02,854.29,846.35,3.18,841.23,852.88,22.30,2.26,19.77,28.45,19.49,1.94,17.78,24.27,386.28,9.31,370.40,437.00,1922.78,440.68,1662.06,3493.45,40.35,4.39,32.71,55.37,1809.00,266.63,1645.82,3225.14,55.89,7.29,40.23,75.28
700,30,1151.33,1.57,1148.59,1153.51,1125.72,2.62,1123.16,1129.94,25.93,2.62,22.71,31.85,22.33,2.24,20.35,28.35,426.10,8.08,413.32,470.49,1979.76,523.09,1663.48,3776.69,51.55,8.06,39.15,71.47,1814.08,275.05,1638.58,3387.73,61.01,8.64,41.90,84.09
800,30,1624.54,27.11,1569.56,1651.09,1499.93,4.33,1492.83,1504.67,30.15,2.86,26.26,37.09,24.87,1.99,23.58,31.57,465.11,8.58,451.29,518.97,2033.80,588.47,1671.12,3995.24,51.79,4.36,43.74,66.21,1833.73,301.26,1636.91,3532.79,71.53,10.84,46.04,100.30
900,30,1876.86,29.08,1835.91,1911.61,1865.12,1.82,1862.79,1868.88,34.17,3.11,29.66,41.65,27.25,0.72,26.62,32.04,516.46,7.29,504.49,557.94,2100.47,677.33,1668.93,4067.58,62.89,10.99,47.36,94.19,1883.26,386.56,1651.52,3513.68,69.68,9.19,50.14,97.15
1000,30,2341.56,12.61,2331.50,2362.39,2345.02,2.54,2342.28,2350.18,37.72,3.75,33.78,48.32,31.76,2.36,30.28,41.21,555.05,8.23,544.40,614.33,2111.57,677.89,1664.12,4323.58,51.55,4.83,43.06,69.73,1892.77,395.42,1660.09,3862.59,74.47,10.37,52.44,102.44
2000,30,9138.43,7.74,9126.72,9154.97,9129.12,5.73,9124.22,9141.62,73.88,7.09,68.18,95.83,61.85,1.20,60.37,68.75,815.69,20.11,804.69,1051.63,2942.55,1329.08,1718.10,5322.52,127.46,7.04,108.85,146.95,2104.77,631.71,1686.08,4227.71,118.06,13.50,86.57,185.54
3000,30,20222.29,10.19,20208.11,20238.56,20273.73,12.14,20259.19,20301.03,114.66,6.81,107.28,139.65,99.68,2.28,95.96,112.94,1024.07,26.24,999.81,1242.32,3432.83,1477.65,1752.60,6442.65,169.97,12.32,142.63,206.10,2415.84,917.46,1712.04,4752.73,165.05,9.54,140.73,194.19
4000,30,37429.83,28.27,37397.19,37495.21,37813.63,1324.72,36440.71,39106.31,170.59,8.72,158.48,212.15,144.13,3.85,139.39,169.88,1474.21,30.21,1450.97,1702.24,4564.13,1714.94,1846.93,7390.60,207.15,9.97,180.13,236.12,2849.68,1229.47,1728.71,5231.44,208.71,14.25,177.78,455.68
5000,30,61703.10,28.65,61658.00,61754.49,57202.19,39.57,57149.64,57272.17,269.50,73.40,244.23,784.42,240.02,71.60,219.82,761.92,1842.99,141.50,1736.38,2361.82,5520.81,1655.70,2163.19,8309.81,325.14,159.02,248.51,1485.81,3096.56,1300.30,1723.70,5894.61,313.93,148.63,263.13,1388.17
6000,30,88558.76,62.84,88491.38,88679.76,87503.90,89.23,87412.66,87676.26,327.90,83.28,300.27,853.56,293.64,84.63,267.38,827.42,1975.88,173.84,1861.86,2546.83,6277.90,1832.53,3219.55,12449.11,371.47,170.94,300.27,1467.33,3515.13,1493.13,1771.81,6574.32,381.31,181.30,317.25,1534.70
